player,team,fantasy_position,age,games,games_started,completions,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_yards_per_attempt,rush_tds,targets,receptions,rec_yards,yards_per_reception,rec_tds,fumbles,fumbles_lost,total_tds,two_point_con,two_point_con_passing,fantasy_points_standard,fantasy_points_ppr,fantasy_points_dk,fantasy_points_fd
Khari Blasingame,TEN,RB,23,6,3,0,0,0,0,0,0,0,,0,5,4,54,13.50,0,0,0,0,,,5,9.4,9.4,7.4
Deontay Burnett,PHI,WR,22,1,1,0,0,0,0,0,0,0,,0,4,2,48,24.00,0,0,0,0,,,5,6.8,6.8,5.8
Mike Davis,2TM,RB,26,12,1,0,0,0,0,0,13,27,2.08,0,8,7,22,3.14,0,0,0,0,,,5,11.9,11.9,8.4
Patrick DiMarco,BUF,RB,30,16,4,0,0,0,0,0,3,7,2.33,0,7,5,41,8.20,0,0,0,0,,,5,9.8,9.8,7.3
Jon Hilliman,NYG,RB,24,3,1,0,0,0,0,0,30,91,3.03,0,4,3,1,0.33,0,2,2,0,,,5,8.2,10.2,6.7
Alexander Hollins,MIN,WR,23,5,1,0,0,0,0,0,0,0,,0,4,2,46,23.00,0,0,0,0,,,5,6.6,6.6,5.6
Taiwan Jones,HOU,RB,31,11,0,0,0,0,0,0,9,40,4.44,0,1,1,9,9.00,0,0,0,0,,,5,5.9,5.9,5.4
Lance Kendricks,LAC,TE,31,12,1,0,0,0,0,0,0,0,,0,7,3,50,16.67,0,0,0,0,,,5,8.0,8.0,6.5
Devine Ozigbo,JAX,RB,23,10,0,0,0,0,0,0,9,27,3.00,0,5,3,23,7.67,0,0,0,0,,,5,8.0,8.0,6.5
Elijhaa Penny,NYG,RB,26,16,1,0,0,0,0,0,15,39,2.60,0,4,2,9,4.50,0,0,0,0,,,5,6.8,6.8,5.8
Luke Stocker,ATL,TE,31,15,9,0,0,0,0,0,0,0,,0,14,8,53,6.63,0,1,0,0,,,5,13.3,13.3,9.3
Trevon Wesco,NYJ,TE,24,16,1,0,0,0,0,0,1,2,2.00,0,3,2,47,23.50,0,0,0,0,,,5,6.9,6.9,5.9
DeAndrew White,CAR,WR,28,10,0,0,0,0,0,0,0,0,,0,9,4,51,12.75,0,0,0,0,,,5,9.1,9.1,7.1
Cedrick Wilson Jr.,DAL,WR,24,6,0,0,0,0,0,0,0,0,,0,8,5,46,9.20,0,0,0,0,,,5,9.6,9.6,7.1
Deon Yelder,KAN,TE,24,9,1,0,0,0,0,0,0,0,,0,4,3,50,16.67,0,0,0,0,,,5,8.0,8.0,6.5
C.J. Anderson,DET,RB,28,2,0,0,0,0,0,0,16,43,2.69,0,0,0,0,,0,0,0,0,,,4,4.3,4.3,4.3
Geremy Davis,LAC,WR,27,7,1,0,0,0,0,0,0,0,,0,3,3,38,12.67,0,0,0,0,,,4,6.8,6.8,5.3
Mike Glennon,OAK,QB,30,2,0,6,10,56,1,0,2,0,0.00,0,0,0,0,,0,3,1,0,,,4,4.2,5.2,4.2
Colt McCoy,WAS,QB,33,1,1,18,27,122,0,1,2,14,7.00,0,0,0,0,,0,2,0,0,,,4,4.3,5.3,5.3
Steven Mitchell,HOU,WR,25,3,1,0,0,0,0,0,0,0,,0,6,2,37,18.50,0,0,0,0,,,4,5.7,5.7,4.7
Jason Moore,LAC,WR,24,10,0,0,0,0,0,0,0,0,,0,5,2,43,21.50,0,0,0,0,,,4,6.3,6.3,5.3
Paul Perkins,DET,RB,25,4,0,0,0,0,0,0,12,29,2.42,0,1,1,9,9.00,0,0,0,0,,,4,4.8,4.8,4.3
Jay Ajayi,PHI,RB,26,3,0,0,0,0,0,0,10,30,3.00,0,1,0,0,,0,0,0,0,,,3,3.0,3.0,3.0
Travis Benjamin,LAC,WR,30,5,2,0,0,0,0,0,0,0,,0,16,6,30,5.00,0,0,0,0,,,3,9.0,9.0,6.0
C.J. Board,JAX,WR,26,4,0,0,0,0,0,0,0,0,,0,4,2,31,15.50,0,0,0,0,,,3,5.1,5.1,4.1
Pharaoh Brown,CLE,TE,25,9,6,0,0,0,0,0,0,0,,0,3,2,27,13.50,0,0,0,0,,,3,4.7,4.7,3.7
Cody Core,NYG,WR,25,16,0,0,0,0,0,0,0,0,,0,5,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3
Dalyn Dawkins,TEN,RB,25,2,0,0,0,0,0,0,11,26,2.36,0,1,0,0,,0,0,0,0,,,3,2.6,2.6,2.6
Devin Funchess,IND,WR,25,1,1,0,0,0,0,0,0,0,,0,5,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7
Johnny Holton,PIT,WR,29,16,3,0,0,0,0,0,1,9,9.00,0,15,3,21,7.00,0,0,0,0,,,3,6.0,6.0,4.5
Tanner Hudson,TAM,TE,25,9,1,0,0,0,0,0,0,0,,0,5,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6
Ishmael Hyman,TAM,WR,24,2,1,0,0,0,0,0,0,0,,0,4,2,34,17.00,0,0,0,0,,,3,5.4,5.4,4.4
Jordan Matthews,2TM,WR,27,3,1,0,0,0,0,0,0,0,,0,12,4,33,8.25,0,0,0,0,,,3,7.3,7.3,5.3
Codey McElroy,TAM,WR,27,1,0,0,0,0,0,0,0,0,,0,1,1,30,30.00,0,0,0,0,,,3,4.0,4.0,3.5
Johnny Mundt,LAR,TE,25,13,2,0,0,0,0,0,0,0,,0,7,4,26,6.50,0,0,0,0,,,3,6.6,6.6,4.6
Andre Roberts,BUF,WR,31,13,0,0,0,0,0,0,1,7,7.00,0,7,3,20,6.67,0,1,0,0,,,3,5.7,5.7,4.2
Drew Sample,CIN,TE,23,9,2,0,0,0,0,0,0,0,,0,6,5,30,6.00,0,0,0,0,,,3,8.0,8.0,5.5
Da'Mari Scott,NYG,WR,24,5,2,0,0,0,0,0,1,5,5.00,0,3,2,22,11.00,0,0,0,0,,,3,4.7,4.7,3.7
Russell Shepard,NYG,WR,29,3,0,0,0,0,0,0,0,0,,0,8,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0
Anthony Sherman,KAN,RB,31,16,0,0,0,0,0,0,4,9,2.25,0,3,2,22,11.00,0,0,0,0,,,3,5.1,5.1,4.1
Cam Sims,WAS,WR,23,7,1,0,0,0,0,0,0,0,,0,3,2,27,13.50,0,0,0,0,,,3,4.7,4.7,3.7
Ryan Switzer,PIT,WR,25,9,0,0,0,0,0,0,0,0,,0,11,8,27,3.38,0,1,0,0,,,3,10.7,10.7,6.7
Ross Travis,IND,TE,26,3,1,0,0,0,0,0,0,0,,0,6,4,51,12.75,0,1,1,0,,,3,7.1,8.1,5.1
Nick Bawden,DET,RB,23,10,2,0,0,0,0,0,0,0,,0,6,4,17,4.25,0,0,0,0,,,2,5.7,5.7,3.7
Josh Bellamy,NYJ,WR,30,7,0,0,0,0,0,0,0,0,,0,3,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0
Fred Brown,DEN,WR,26,13,1,0,0,0,0,0,0,0,,0,3,2,21,10.50,0,1,0,0,,,2,4.1,4.1,3.1
Michael Crabtree,ARI,WR,32,2,1,0,0,0,0,0,0,0,,0,5,4,22,5.50,0,0,0,0,,,2,6.2,6.2,4.2
Rashard Davis,TEN,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,16,16.00,0,0,0,0,,,2,2.6,2.6,2.1
Robert Davis,2TM,WR,24,6,3,0,0,0,0,0,0,0,,0,5,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7
Ashton Dulin,IND,WR,22,13,0,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7
Tyler Ervin,2TM,RB,26,10,0,0,0,0,0,0,1,10,10.00,0,4,2,11,5.50,0,2,0,0,,,2,4.1,4.1,3.1
Darius Jennings,TEN,WR,27,8,0,0,0,0,0,0,0,0,,0,5,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7
Marqise Lee,JAX,WR,28,6,1,0,0,0,0,0,1,1,1.00,0,4,3,18,6.00,0,0,0,0,,,2,4.9,4.9,3.4
T.J. Logan,TAM,RB,25,12,0,0,0,0,0,0,3,10,3.33,0,3,2,13,6.50,0,0,0,0,,,2,4.3,4.3,3.3
Donte Moncrief,2TM,WR,26,8,2,0,0,0,0,0,0,0,,0,15,4,18,4.50,0,0,0,0,,,2,5.8,5.8,3.8
Chris Moore,BAL,WR,26,14,1,0,0,0,0,0,1,0,0.00,0,5,3,21,7.00,0,0,0,0,,,2,5.1,5.1,3.6
Stanley Morgan Jr.,CIN,WR,23,11,0,0,0,0,0,0,0,0,,0,10,3,18,6.00,0,0,0,0,,,2,4.8,4.8,3.3
Josh Oliver,JAX,TE,22,4,1,0,0,0,0,0,0,0,,0,6,3,15,5.00,0,0,0,0,,,2,4.5,4.5,3.0
Samaje Perine,2TM,RB,24,7,0,0,0,0,0,0,5,16,3.20,0,0,0,0,,0,0,0,0,,,2,1.6,1.6,1.6
Eric Saubert,CHI,TE,25,2,0,0,0,0,0,0,0,0,,0,3,2,21,10.50,0,0,0,0,,,2,4.1,4.1,3.1
Keith Smith,ATL,RB,27,16,5,0,0,0,0,0,5,8,1.60,0,3,1,13,13.00,0,0,0,0,,,2,3.1,3.1,2.6
Diontae Spencer,DEN,WR,27,16,2,0,0,0,0,0,3,6,2.00,0,8,6,31,5.17,0,3,1,0,,,2,7.7,8.7,4.7
Bobo Wilson,TAM,WR,24,6,1,0,0,0,0,0,0,0,,0,11,3,35,11.67,0,3,1,0,,,2,4.5,5.5,3.0
Zach Zenner,3TM,RB,28,5,0,0,0,0,0,0,3,-2,-0.67,0,3,2,19,9.50,0,0,0,0,,,2,3.7,3.7,2.7
Josh Adams,NYJ,RB,23,3,0,0,0,0,0,0,8,12,1.50,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2
Antony Auclair,TAM,TE,26,8,5,0,0,0,0,0,0,0,,0,3,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6
Tony Brooks-James,PIT,RB,25,3,0,0,0,0,0,0,8,7,0.88,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7
Austin Carr,NOR,WR,26,6,3,0,0,0,0,0,0,0,,0,4,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4
Sean Culkin,LAC,TE,26,4,2,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7
Josh Ferguson,WAS,RB,26,2,0,0,0,0,0,0,3,9,3.00,0,0,0,0,,0,0,0,0,,,1,0.9,0.9,0.9
Ryan Grant,OAK,WR,29,2,1,0,0,0,0,0,0,0,,0,9,4,14,3.50,0,0,0,0,,,1,5.4,5.4,3.4
Will Grier,CAR,QB,24,2,2,28,52,228,0,4,7,22,3.14,0,0,0,0,,0,1,1,0,,,1,1.3,6.3,5.3
Ryan Griffin,TAM,QB,30,2,0,2,4,18,0,0,4,-1,-0.25,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6
Damien Harris,NWE,RB,22,2,0,0,0,0,0,0,4,12,3.00,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2
Dwayne Harris,OAK,WR,32,3,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2
Chris Herndon,NYJ,TE,23,1,0,0,0,0,0,0,0,0,,0,2,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2
Cody Hollister,TEN,WR,26,5,0,0,0,0,0,0,0,0,,0,2,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3
Buddy Howell,HOU,RB,23,16,0,0,0,0,0,0,5,10,2.00,0,0,0,0,,0,0,0,0,,,1,1.0,1.0,1.0
Jakob Johnson,NWE,RB,25,4,3,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0
Charles Jones,JAX,TE,23,4,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0
John Kelly,LAR,RB,23,4,0,0,0,0,0,0,3,9,3.00,0,0,0,0,,0,0,0,0,,,1,0.9,0.9,0.9
Ben Koyack,JAX,TE,26,11,6,0,0,0,0,0,0,0,,0,3,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4
Chris Manhertz,CAR,TE,27,15,6,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6
Josh McCown,PHI,QB,40,3,0,3,5,24,0,0,2,-2,-1.00,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8
Ryan Nall,CHI,RB,24,8,0,0,0,0,0,0,2,8,4.00,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8
Isaac Nauta,DET,TE,22,6,0,0,0,0,0,0,0,0,,0,3,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3
Gunner Olszewski,NWE,WR,23,8,0,0,0,0,0,0,0,0,,0,4,2,34,17.00,0,1,1,0,,,1,3.4,4.4,2.4
Ricky Ortiz,NOR,RB,25,1,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3
Jordan Scarlett,CAR,RB,23,9,0,0,0,0,0,0,4,9,2.25,0,0,0,0,,0,0,0,0,,,1,0.9,0.9,0.9
Dalton Schultz,DAL,TE,23,16,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1
Jaleel Scott,BAL,WR,24,3,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1
Scott Simonson,NYG,TE,27,5,1,0,0,0,0,0,0,0,,0,2,2,11,5.50,0,0,0,0,,,1,3.1,3.1,2.1
Jeff Smith,NYJ,WR,22,1,0,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7
Tyrone Swoopes,SEA,TE,25,5,2,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0
De'Anthony Thomas,2TM,WR,26,14,0,0,0,0,0,0,2,5,2.50,0,2,1,6,6.00,0,3,0,0,,,1,2.1,2.1,1.6
Jordan Thomas,HOU,TE,23,5,2,0,0,0,0,0,0,0,,0,3,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3
Mike Thomas,LAR,WR,25,16,0,0,0,0,0,0,0,0,,0,5,2,14,7.00,0,0,0,0,,,1,3.4,3.4,2.4
Levine Toilolo,SFO,TE,28,13,0,0,0,0,0,0,0,0,,0,2,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0
De'Lance Turner,MIA,RB,24,8,0,0,0,0,0,0,4,6,1.50,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6
John Ursua,SEA,WR,25,3,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6
Dexter Williams,GNB,RB,22,4,0,0,0,0,0,0,5,11,2.20,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1
Jerell Adams,HOU,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Stephen Anderson,LAC,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Evan Baylis,GNB,,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Kendall Blanton,LAR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Tim Boyle,GNB,QB,25,3,0,3,4,15,0,0,5,-7,-1.40,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1
Deante Burton,DAL,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Trenton Cannon,NYJ,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Garrett Celek,SFO,,31,5,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Jordan Chunn,DAL,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Chandler Cox,MIA,,23,13,3,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
River Cracraft,DEN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Jerome Cunningham,WAS,,28,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Darrell Daniels,ARI,TE,25,11,0,0,0,0,0,0,0,0,,0,3,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9
Davion Davis,MIN,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
James Develin,NWE,TE,31,2,2,0,0,0,0,0,2,3,1.50,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3
Garrett Dickerson,NYG,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Gehrig Dieter,KAN,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Brandon Dillon,MIN,,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Josh Doctson,MIN,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Alex Ellis,PHI,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
David Fales,NYJ,,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
David Fluellen,TEN,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
D.J. Foster,ARI,,26,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Travis Fulgham,DET,,24,3,0,0,0,0,0,0,0,0,,0,3,0,0,,0,,0,0,,,,,,
Zach Gentry,PIT,TE,23,4,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9
Garrett Gilbert,CLE,QB,28,5,0,0,3,0,0,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3
Cullen Gillaspia,HOU,,24,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Cyril Grayson,TAM,WR,26,2,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8
Xavier Grimble,PIT,TE,27,3,1,0,0,0,0,0,0,0,,0,3,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8
Jalen Guyton,LAC,,22,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,0,0,,,,,,
Justin Hardee,NOR,,25,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,
Clark Harris,CIN,,35,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Krishawn Hogan,NOR,WR,24,8,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9
Lil'Jordan Humphrey,NOR,,21,5,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,
Trenton Irwin,CIN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Gary Jennings Jr,MIA,,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Tom Kennedy,DET,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Darvin Kidsy,WAS,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Keith Kirkwood,NOR,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Matt Lengel,IND,,29,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Josh Malone,NYJ,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Jeremy McNichols,JAX,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Trace McSorley,BAL,QB,24,1,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1
Carson Meier,ATL,,24,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Jaydon Mickens,TAM,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Alfred Morris,ARI,RB,31,1,0,0,0,0,0,0,1,4,4.00,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4
Nick Mullens,SFO,QB,24,1,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3
Jojo Natson,LAR,,25,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Roosevelt Nix,PIT,RB,27,3,0,0,0,0,0,0,0,0,,0,3,2,4,2.00,0,0,0,0,,,,2.4,2.4,1.4
Matthew Orzech,JAX,,24,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Senorise Perry,BUF,RB,28,11,0,0,0,0,0,0,3,3,1.00,0,1,1,1,1.00,0,0,0,0,,,,1.4,1.4,0.9
Craig Reynolds,WAS,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Richard Rodgers,PHI,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Cooper Rush,DAL,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Spencer Schnell,TAM,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Mason Schreck,CIN,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Trevor Siemian,NYJ,QB,28,1,1,3,6,3,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1
Matthew Slater,NWE,,34,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Rod Smith,2TM,,27,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Nate Solder,NYG,,31,16,16,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Jace Sternberger,GNB,,23,6,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,
Alex Tanney,NYG,QB,32,1,0,1,1,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Taywan Taylor,CLE,,24,3,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,
Eric Tomlinson,3TM,TE,27,8,3,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6
Robert Turbin,SEA,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Jason Vander Laan,NOR,,27,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,
Austin Walter,NYG,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Jester Weah,WAS,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Nsimba Webster,LAR,,23,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,
Chad Williams,IND,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,0,0,,,,,,
Trayveon Williams,CIN,,22,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Juwann Winfree,DEN,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,,,,
Blake Bortles,LAR,QB,27,3,0,1,2,3,0,0,2,-9,-4.50,0,0,0,0,,0,0,0,0,,,-1,-0.8,-0.8,-0.8
Sean Mannion,MIN,QB,27,3,1,12,21,126,0,2,6,-5,-0.83,0,0,0,0,,0,1,1,0,,,-1,-1.5,1.5,0.5
Greg Dortch,CAR,,21,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,-2,-2.0,-1.0,-2.0
Quincy Enunwa,NYJ,WR,27,1,1,0,0,0,0,0,0,0,,0,3,1,-4,-4.00,0,1,1,0,,,-2,-1.4,-0.4,-1.9
Ray-Ray McCloud,CAR,,23,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,3,1,0,,,-2,-2.0,-1.0,-2.0
Darrius Shepherd ,GNB,WR,24,6,0,0,0,0,0,0,0,0,,0,2,1,1,1.00,0,1,1,0,,,-2,-0.9,0.1,-1.4
Jarrett Stidham,NWE,QB,23,3,0,2,4,14,0,1,2,-2,-1.00,0,0,0,0,,0,0,0,0,,,-2,-1.6,-0.6,-0.6
Michael Walker,JAX,WR,23,7,0,0,0,0,0,0,0,0,,0,3,2,15,7.50,0,2,2,0,,,-3,-0.5,1.5,-1.5
Corey Clement,PHI,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,2,0,,,-4,-4.0,-2.0,-4.0
